,Lunes,Martes,Miércoles,Jueves,Viernes ,Sabado,Domingo
07:00h,Gimnásticos,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
08:00h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
09:00h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
10:00h,Halterofilia,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,
,Hyrox,Hybrid,Hyrox,Halterofilia,,Halterofilia,
11:00h,Functional Fitness,Gimnásticos,Functional Fitness,Gimnásticos,Functional Fitness,Functional Fitness,
,Classic Strength,Fundamentos,Classic Strength,Fundamentos,Classic Strength,,
12:00h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
,,,,,,,
14:30h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
15:30h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
,,,,,,,
17:00h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
18:00h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
,Hyrox,Hybrid,Hyrox,Gimnásticos,Classic Strength,,
,,Classic Strength,,Classic Strength,,,
19:00h,Functional Fitness,Gimnásticos,Functional Fitness,Functional Fitness,Functional Fitness,,
,Classic Strength,Classic Strength,Classic Strength,Classic Strength,Classic Strength,,
,Halterofilia,Functional Fitness Partner,Halterofilia,Gimnásticos,,,
20:00h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,
,Fundamentos,Fundamentos,Fundamentos,Fundamentos,,,
,Hyrox,Hyrox,Hyrox,Hyrox,,,
21:00h,Functional Fitness,Functional Fitness,Functional Fitness,Functional Fitness,,,
,,Gimnásticos,,,,,